dtiTransId,duration,batch,totalQueryWeight,CRDTHitAndMatch,MarketDataMakeKeyBreakdown,DtsQueryBreakdown,RemoteServiceQueueWC,RemoteServiceCacheWaitWC,CacheMissBreakdownInMemory,CacheHitBreakdownInMemory,CacheOverheadWallClock,CacheOverheadTimings,totalCacheHitOrWaits,totalCacheMisses,portfolio,portfolio2,portfolio3,portfolio4,portfolio5,riskmodel,addPositionsByHoldings,create SinglePortfolioContext,createDatedPortfolioContext,destroy DatedPortfolioContext,destroy SinglePortfolioContext,getLightPortfolioWithLastUpdated,getPortfolioAttributes list,getPortfolioLastUpdated,getPortfolioPositions with PositionsReportSpec,getPositionsWithTnC,searchPortfolioTree,singlePortfolioContextRmiSvc getPortfolioInstrumentReturn
65b95670-16b9-419d-aea3-257c58d7a3bf,2458,Custom Factor Return,14671,8608.771736,0.226473,47.030831,1262.034317,2810.784769,8.189411,300.541801,288.4916,482.329549,9787030,822751,189880449,189924771,189937877,NA,NA,USSLOWL,,,,,,,,,,,,
66077995-bf19-4225-bd84-842e39bf6745,23485,Return Attribution,12328,395.76115,31.746557,126.789404,245.127652,23450.6667,1.250618,48.022721,288.013275,289.402172,174871,50072,1178556,NA,NA,NA,NA,GEMLTL,1153,1153,1153,1153,1153,,,,95,,,
c1df085a-e1ea-49ca-9ea5-7d8b715b9b32,307,Single Portfolio Summary,540234,23866.20444,1.115804,371.014536,0.246306,339.056764,39.445151,460.353537,274.128607,1241.733873,5454700,1847246,22489,NA,NA,NA,NA,GEMLTL,300,301,301,301,301,,97,127,2,,2,299
58ec9052-7720-4d5c-ba5f-5f9bfb1acdcb,1017,Factor Performance Attribution,229680,8264.803905,0.130616,974.976307,230.106038,916.207609,10.467458,137.395893,271.128325,489.170142,3012568,1002262,1022856,1090258,NA,NA,NA,GEMLTL,249,249,249,249,249,,,107,48,45,,
f3853a47-8723-449f-b685-1b4bc2993ddc,1008,Portfolio Summary,379269,68194.57463,0.067718,363.118106,365.565817,849.047291,26.700544,259.284263,268.787511,792.889459,2867643,1153140,137877908,137878074,137878166,137878174,137878183,NA,225,225,225,225,225,70,70,97,,,,
3c41f20c-835d-412f-b0d2-96ac18fbc846,934,Brinson Performance Attribution (Beta),150179,39746.62562,75.879516,111.320561,378.563978,700.600441,32.986308,606.117629,262.870466,669.789643,3156536,992575,51151,NA,NA,NA,NA,NA,319,319,319,319,319,91,91,142,119,,,
911bc54e-5cbc-4a7b-be53-720e7b5209ac,3845,ESG Performance Profile,282698,65557.86837,0.117627,1264.17832,3.968797,3934.296525,32.536248,153.756694,262.786353,1010.378031,4635433,2256199,17392,193557625,NA,NA,NA,NA,55,56,92,92,56,,31,36,55,,,
592e75c0-695e-4e8c-93bd-64fbb00b35a4,1871,Portfolio Summary,460810,26960.63707,0.078862,275.405733,499.021956,2178.701858,13.602853,101.123762,254.466159,743.200208,6944529,2025993,117195107,117195114,NA,NA,NA,NA,804,806,808,797,800,,,,484,482,,
c2f0011c-4d8d-43ce-a336-4790d217f82a,814,Asset Performance Contribution,285759,19250.20964,0.068051,3729.148434,0,354.786016,5.516656,17.335947,251.284026,489.613074,2915224,1365819,40424,NA,NA,NA,NA,NA,101,101,101,101,101,18,18,8,30,,,
2c623b6e-92fc-4413-a324-b8b40db8eb6b,2019,Factor Performance Attribution,242593,17654.77391,50.474546,844.12814,834.939763,3817.63743,16.071102,223.76313,244.4802,703.412522,3708087,1257210,69313,NA,NA,NA,NA,GEMLTL,451,451,451,451,451,96,96,63,126,,,
